skill,jobs,certifications,youtube_channels,ebooks,websites
Content Creation,"Content Creator, Copywriter, Social Media Manager, Content Strategist, Brand Manager","Content Marketing Institute Certification, HubSpot Content Marketing Certification, Google Digital Marketing & E-commerce Certificate, Facebook Blueprint Certification, YouTube Creator Academy","Think Media, Video Creators, Amy Landino, Roberto Blake, Income School","This Is Marketing, Content Inc., Everybody Writes, The Content Strategy Toolkit, Epic Content Marketing","https://buffer.com, https://later.com, https://www.canva.com, https://www.grammarly.com, https://answerthepublic.com"
UX Design,"UX Designer, Product Designer, UX Researcher, Interaction Designer, UX/UI Designer","Google UX Design Professional Certificate, Nielsen Norman Group UX Certification, Interaction Design Foundation UX Certification, Certified Usability Analyst (CUA), Adobe XD Certification","NNgroup, AJ&Smart, The Futur, UX Design Mastery, Mizko","Don't Make Me Think, The Design of Everyday Things, About Face: The Essentials of Interaction Design, Universal Principles of Design, Designing for the Digital Age","https://www.nngroup.com, https://www.interaction-design.org, https://www.uxpin.com, https://www.usability.gov, https://www.uxmatters.com"
Data Engineering,"Data Engineer, Big Data Engineer, Data Architect, Cloud Data Engineer, ETL Developer","Google Professional Data Engineer, AWS Certified Data Analytics - Specialty, Cloudera Certified Data Engineer, IBM Data Engineering Professional Certificate, Microsoft Certified: Azure Data Engineer Associate","Data Engineering with Mosh, Seattle Data Guy, DataEngineer.tv, Andreas Kretz, Kenji Blockchain","Designing Data-Intensive Applications, Data Engineering with Python, The Data Warehouse Toolkit, Big Data: Principles and best practices, Fundamentals of Data Engineering","https://www.databricks.com, https://spark.apache.org, https://kafka.apache.org, https://airflow.apache.org, https://aws.amazon.com/redshift/"
Digital Illustration,"Illustrator, Digital Artist, Concept Artist, Character Designer, Book Illustrator","Adobe Certified Professional: Illustrator, Wacom Certified Professional, Clip Studio Paint Certification, Procreate Artist Certification, Affinity Designer Certification","Proko, Aaron Blaise, Marco Bucci, Jazza, David Revoy","Digital Painting Techniques, Color and Light: A Guide for the Realist Painter, Imaginative Realism, How to Render, Figure Drawing: Design and Invention","https://www.artstation.com, https://www.deviantart.com, https://www.pinterest.com, https://www.skillshare.com, https://www.domestika.org"
Blockchain,"Blockchain Developer, Smart Contract Developer, Blockchain Architect, Cryptocurrency Analyst, Blockchain Consultant","Certified Blockchain Developer, Ethereum Developer Certification, Certified Blockchain Solution Architect, ConsenSys Blockchain Developer Bootcamp Certification, Hyperledger Fabric Developer Certification","Dapp University, EatTheBlocks, Moralis Web3, Smart Contract Programmer, Whiteboard Crypto","Mastering Blockchain, Mastering Ethereum, Blockchain Basics, Blockchain Bubble or Revolution, Token Economy","https://ethereum.org, https://www.hyperledger.org, https://solidity-by-example.org, https://web3js.readthedocs.io, https://docs.soliditylang.org"
Video Editing,"Video Editor, Film Editor, Motion Graphics Designer, Content Creator, Post-Production Specialist","Adobe Certified Professional: Premiere Pro, Apple Final Cut Pro Certification, Avid Certified User: Media Composer, DaVinci Resolve Certified Trainer, Blackmagic Design Certified User","Parker Walbeck, Justin Odisho, Film Riot, Casey Faris, Potato Jet","In the Blink of an Eye, The Technique of Film and Video Editing, Color Correction Handbook, Adobe Premiere Pro Classroom in a Book, The Art of the Cut","https://www.premiumbeat.com, https://www.frame.io, https://www.videocopilot.net, https://www.blackmagicdesign.com/products/davinciresolve, https://www.adobe.com/products/premiere.html"
iOS Development,"iOS Developer, Swift Developer, Mobile App Developer, iOS Engineer, Apple Developer","App Development with Swift Certification, iOS App Development with Swift Specialization, Apple Certified iOS Technician, Professional Swift Certification, Apple Developer Program","Paul Hudson (Hacking with Swift), Sean Allen, CodeWithChris, Lets Build That App, Kavsoft","iOS Programming: The Big Nerd Ranch Guide, Swift Programming: The Big Nerd Ranch Guide, Swift in Depth, App Architecture: iOS Application Design Patterns, SwiftUI by Tutorials","https://developer.apple.com/documentation/swift, https://www.hackingwithswift.com, https://www.raywenderlich.com, https://cocoapods.org, https://forums.swift.org"
Sales,"Sales Representative, Account Executive, Business Development Manager, Sales Manager, Customer Success Manager","Certified Professional Sales Person (CPSP), Salesforce Sales Cloud Consultant, HubSpot Sales Certification, Certified Inside Sales Professional, Challenger Sales Model Certification","Brian Tracy, Grant Cardone, Victor Antonio, Jeffrey Gitomer, Dan Lok","To Sell Is Human, SPIN Selling, The Challenger Sale, Never Split the Difference, Fanatical Prospecting","https://www.salesforce.com, https://www.hubspot.com/sales, https://www.gong.io, https://www.saleshacker.com, https://www.pipedrive.com"
Android Development,"Android Developer, Mobile App Developer, Java Developer, Kotlin Developer, App Engineer","Google Associate Android Developer, Android Certified Application Developer, Professional Android Developer Certification, Oracle Certified Professional: Java SE 11 Developer, Kotlin Developer Expert","Coding in Flow, Philipp Lackner, Android Developers, Code With Mitch, Coding With Mitch","Android Programming: The Big Nerd Ranch Guide, Kotlin in Action, Head First Android Development, Clean Architecture: A Craftsman's Guide to Software Structure, Professional Android","https://developer.android.com, https://kotlinlang.org, https://material.io, https://medium.com/androiddevelopers, https://www.raywenderlich.com/android"
Email Marketing,"Email Marketing Specialist, Marketing Automation Specialist, CRM Manager, Digital Marketing Manager, Campaign Manager","HubSpot Email Marketing Certification, Mailchimp Email Marketing Certification, Litmus Email Marketing Certification, Klaviyo Email Marketing Expert, Salesforce Email Marketing Specialist","RetailMarketingGuru, Kath Pay, Chase Dimond, AWeber, Mailchimp","Email Marketing Rules, Email Persuasion, Email Marketing Demystified, The New Email Revolution, The Ultimate Guide to Email Marketing","https://www.mailchimp.com, https://www.klaviyo.com, https://sendgrid.com, https://www.activecampaign.com, https://www.campaignmonitor.com"
Financial Analysis,"Financial Analyst, Investment Analyst, Credit Analyst, Financial Advisor, Risk Analyst","Chartered Financial Analyst (CFA), Financial Risk Manager (FRM), Certified Financial Planner (CFP), Chartered Alternative Investment Analyst (CAIA), Financial Modeling & Valuation Analyst (FMVA)","Corporate Finance Institute, Wall Street Prep, Patrick Boyle, New Money, One Minute Economics","Financial Intelligence, Investment Banking: Valuation, Leveraged Buyouts and M&A, Financial Modeling and Valuation, Financial Statement Analysis, The Intelligent Investor","https://www.investopedia.com, https://www.wallstreetprep.com, https://www.corporatefinanceinstitute.com, https://www.bloomberg.com, https://www.morningstar.com"
SEO,"SEO Specialist, Digital Marketing Manager, Content Strategist, SEO Analyst, Search Marketing Manager","Google SEO Fundamentals Certification, Moz SEO Essentials Certification, SEMrush SEO Fundamentals Certification, Yoast SEO Certification, HubSpot SEO Certification","Ahrefs, Brian Dean (Backlinko), Neil Patel, Gotch SEO, Income School","The Art of SEO, SEO For Dummies, 3 Months to No.1, SEO 2023: Learn search engine optimization with smart strategies, Ultimate Guide to Link Building","https://www.semrush.com, https://ahrefs.com, https://moz.com, https://neilpatel.com, https://backlinko.com"
Product Management,"Product Manager, Product Owner, Program Manager, Technical Product Manager, Product Marketing Manager","Product Management Certification (PMC), Certified Scrum Product Owner (CSPO), Professional Scrum Product Owner (PSPO), Product School Certification, Pragmatic Marketing Certification","Product School, Dan Olsen, Lenny Rachitsky, Melissa Perri, Department of Product","Inspired: How to Create Tech Products Customers Love, Hooked, The Lean Product Playbook, Escaping the Build Trap, Continuous Discovery Habits","https://www.productplan.com, https://www.aha.io, https://www.productboard.com, https://www.miro.com, https://www.figma.com"
Artificial Intelligence,"AI Researcher, Machine Learning Engineer, AI Developer, AI Specialist, AI Ethics Officer","IBM AI Engineering Professional Certificate, Deep Learning Specialization Certificate, Microsoft Certified: Azure AI Engineer Associate, Google AI Professional Certificate, AI Ethics Professional","Two Minute Papers, Yannic Kilcher, Lex Fridman, DeepLearning.AI, Robert Miles","Artificial Intelligence: A Modern Approach, Human Compatible: Artificial Intelligence and the Problem of Control, Life 3.0, AI Superpowers, Rebooting AI","https://www.deeplearning.ai, https://ai.google, https://www.fast.ai, https://huggingface.co, https://openai.com"
Social Media Management,"Social Media Manager, Community Manager, Digital Marketing Specialist, Content Creator, Brand Manager","Facebook Blueprint Certification, Hootsuite Social Marketing Certification, Twitter Flight School Certification, LinkedIn Marketing Labs Certification, Sprout Social Certification","Later, Social Media Examiner, Buffer, Social Media College, Andrea Vahl","One Million Followers, Crushing It!, Social Media Marketing For Dummies, The Art of Social Media, Jab Jab Jab Right Hook","https://business.instagram.com, https://business.facebook.com, https://ads.twitter.com, https://business.linkedin.com, https://business.tiktok.com"
Game Development,"Game Developer, Game Programmer, Unity Developer, Unreal Engine Developer, Game Designer","Unity Certified Programmer, Unreal Engine Certification, Certified Game Developer, Autodesk Certified Professional: Maya, Certified C++ Game Developer","Brackeys, Game Maker's Toolkit, Jonas Tyroller, blackthornprod, Dani","Game Engine Architecture, Game Programming Patterns, Level Up! The Guide to Great Video Game Design, The Art of Game Design, Unity in Action","https://unity.com, https://www.unrealengine.com, https://www.gamasutra.com, https://gamedev.net, https://itch.io"
Network Administration,"Network Administrator, Systems Administrator, Network Engineer, IT Support Specialist, Network Operations Specialist","Cisco Certified Network Associate (CCNA), CompTIA Network+, Microsoft Certified: Azure Network Engineer Associate, Juniper Networks Certified Associate, Certified Network Security Administrator","Network Chuck, David Bombal, Sunny Classroom, Practical Networking, CBT Nuggets","Network Warrior, Computer Networks: A Systems Approach, TCP/IP Illustrated, CCNA Certification Study Guide, Network Security Bible","https://www.cisco.com, https://www.juniper.net, https://www.netacad.com, https://packettracer.com, https://www.wireshark.org"
3D Modeling,"3D Modeler, 3D Artist, Character Artist, Environmental Artist, Technical Artist","Autodesk Certified Professional: 3ds Max, Autodesk Certified Professional: Maya, Blender Certification, ZBrush Certified Professional, SOLIDWORKS Certification","Blender Guru, FlippedNormals, Arrimus 3D, CG Geek, Grant Abbitt","3D Art Essentials, How to Become a 3D Character Artist, Introducing Character Animation with Blender, Digital Modeling, ZBrush Character Creation","https://www.blender.org, https://www.autodesk.com/products/maya, https://www.maxon.net/en/cinema-4d, https://pixologic.com, https://www.artstation.com"
Big Data,"Big Data Engineer, Data Architect, Hadoop Developer, Data Scientist, Analytics Manager","Cloudera Certified Associate: Data Analyst, MongoDB Certified DBA, Apache Spark Developer Certification, Hortonworks Data Flow Certified Systems Administrator, IBM Big Data Engineer","Data Science Dojo, Frank Kane, AI Sciences, Andreas Kretz, CloudxLab","Big Data: Principles and best practices, The Enterprise Big Data Lake, Designing Data-Intensive Applications, Hadoop: The Definitive Guide, Spark: The Definitive Guide","https://hadoop.apache.org, https://spark.apache.org, https://www.mongodb.com, https://kafka.apache.org, https://www.cloudera.com"
HR Management,"HR Manager, Talent Acquisition Specialist, Employee Relations Manager, Learning & Development Manager, HR Business Partner","SHRM-CP (Certified Professional), PHR (Professional in Human Resources), HRCI Associate Professional in Human Resources, Talent Management Practitioner, Certified Employee Engagement Specialist","HR360, AIHR Academy, Josh Bersin, SHRM, HR Bartender","HR from the Outside In, The Essential HR Handbook, Work Rules!, Crucial Conversations, The Five Dysfunctions of a Team","https://www.shrm.org, https://www.hrci.org, https://www.hrbartender.com, https://www.workday.com, https://www.linkedin.com/talent-solutions"
Business Analysis,"Business Analyst, Systems Analyst, Requirements Engineer, Process Analyst, Product Owner","IIBA Certified Business Analysis Professional (CBAP), PMI Professional in Business Analysis (PMI-PBA), BCS Business Analysis Practice, IQBBA Certified Foundation Level Business Analyst, Certified Agile Business Analysis","Jeremy Aschenbrenner, The BA Guide, Laura Brandenburg, Business Analysis Excellence, Modern Analyst","Business Analysis For Dummies, Seven Steps to Mastering Business Analysis, Business Analysis Techniques: 99 essential tools for success, Agile and Business Analysis, The Business Analysis Handbook","https://www.iiba.org, https://www.modernanalyst.com, https://www.bridging-the-gap.com, https://www.ba-guru.com, https://www.batimes.com"
React,"Frontend Developer, React Developer, JavaScript Developer, Web Application Developer, UI Engineer","Meta React Developer Certification, freeCodeCamp Front End Libraries Certification, LinkedIn React.js Assessment, React Native Mobile Developer Certification, JavaScript Institute Certification","Codevolution, Net Ninja, Ben Awad, Web Dev Simplified, Academind","React: Up & Running, Learning React, The Road to React, Fullstack React, Pro React 16","https://reactjs.org, https://create-react-app.dev, https://redux.js.org, https://reactrouter.com, https://nextjs.org"
Node.js,"Backend Developer, Node.js Developer, Full Stack Developer, JavaScript Developer, API Developer","OpenJS Node.js Application Developer, OpenJS Node.js Services Developer, LinkedIn Node.js Assessment, HackerRank Node.js Certification, Backend Development Certification","Academind, The Net Ninja, Traversy Media, Mosh Hamedani, freeCodeCamp.org","Node.js Design Patterns, Node.js 8 the Right Way, Node.js Web Development, Learning Node.js Development, Express in Action","https://nodejs.org, https://expressjs.com, https://www.npmjs.com, https://github.com/goldbergyoni/nodebestpractices, https://nodeschool.io"
